group,model,parameters,best_test_accuracy,best_epoch,final_test_accuracy,final_train_accuracy,final_train_loss,epoch_to_80_accuracy,test_accuracy_std_last_5,generalization_gap_final,training_seconds
Baseline,vgg11,128786821,0.8653846153846154,29,0.8241758241758241,0.8139745916515426,0.5002236105569261,21,0.03516483516483516,-0.010201232524281512,1142.809225199977
BN,vgg11,128792325,0.7582417582417582,29,0.7005494505494505,0.7090139140955838,0.8137007107968339,,0.021237525373722747,0.008464463546133283,1165.5216124000144
Baseline,vgg13,128971333,0.8489010989010989,29,0.8104395604395604,0.7894736842105263,0.5630704240227784,25,0.029893341777440536,-0.02096587622903412,1300.6149793000004
BN,vgg13,128977221,0.804945054945055,29,0.7747252747252747,0.7259528130671506,0.758686618810701,29,0.03054272991140065,-0.0487724616581241,1373.3085949000379
Baseline,vgg16,134281029,0.8021978021978022,29,0.7362637362637363,0.7341197822141561,0.6925009552522349,29,0.04765988668615702,-0.0021439540495802323,1451.262035199994
BN,vgg16,134289477,0.7554945054945055,28,0.7335164835164835,0.6802782819116757,0.8597116682721281,,0.029074190231478995,-0.053238201604807744,1531.0164776999882
Baseline,vgg19,139590725,0.2445054945054945,1,0.2445054945054945,0.24470659407138537,1.6005593523139745,,0.0,0.00020109956589087208,1592.0357547000094
BN,vgg19,139601733,0.7115384615384616,24,0.5686813186813187,0.6460980036297641,0.9137839588048742,,0.045408689036031624,0.07741668494844545,1692.4408342999668
