epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,3.117259774580192,0.2749546279491833,1.6321484787123544,0.45054945054945056
2,1.9775091850317685,0.37870538415003024,1.3958961465856532,0.46703296703296704
3,1.5992599055756962,0.4246823956442831,1.4840415860270406,0.5467032967032966
4,1.3601517123449087,0.46007259528130673,1.418502525968866,0.5412087912087912
5,1.270721314678896,0.4966727162734422,1.2699882316065358,0.5851648351648352
6,1.2290445588533618,0.5160314579552329,1.4112119949780977,0.5796703296703297
7,1.1753049889118543,0.5284331518451301,1.1371582261808626,0.5796703296703297
8,1.1514493141185855,0.543859649122807,1.0971222451099982,0.5906593406593407
9,1.1001671700497793,0.5635208711433757,0.9338838307412116,0.6346153846153846
10,1.1045064587197877,0.5571687840290381,1.0580049471540764,0.6043956043956044
11,1.0737490420332838,0.5792498487598307,1.0776898376234285,0.6153846153846154
12,1.0934489827695502,0.5849969751966122,0.9051243734883738,0.6510989010989011
13,1.0810147663065686,0.5747126436781609,1.1067035748408391,0.5521978021978022
14,1.0567022306011866,0.5922565033272837,1.102666288941771,0.5961538461538461
15,1.0441541668868253,0.58832425892317,1.821718997680224,0.47802197802197804
16,1.0263838408141877,0.5946763460375075,0.8584324750271473,0.695054945054945
17,0.9916796097233306,0.6209921355111918,0.835379740694067,0.6923076923076923
18,0.9713961714625142,0.6209921355111918,0.7463478262607868,0.7252747252747253
19,0.9460702768182726,0.6427707199032063,0.8121282717028817,0.6813186813186813
20,0.9389118539587483,0.6457955232909861,0.8159468128130987,0.7032967032967034
21,0.9262248970707907,0.6445856019358742,0.749364551607069,0.717032967032967
22,0.9063233703969827,0.6597096188747731,0.780508299450298,0.7060439560439561
23,0.8891346621931645,0.6633393829401089,0.7458777316324003,0.7142857142857143
24,0.8846623308357151,0.6669691470054446,0.7127684060033861,0.7335164835164835
25,0.846719275441086,0.6869328493647913,0.7435688582750467,0.739010989010989
26,0.8366057803539961,0.6932849364791288,0.7851175161508414,0.6923076923076923
27,0.7944201158164705,0.7008469449485784,0.7129233518799583,0.7774725274725275
28,0.7973676880272821,0.6917725347852389,0.6238596819259308,0.7692307692307693
29,0.7966752866867882,0.7105263157894737,0.6187078887289696,0.7637362637362637
30,0.7782443345710861,0.7111312764670297,0.7693829732936818,0.7032967032967034
