epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,3.677121515210585,0.23895946763460374,2.0472992665165073,0.21428571428571427,86.99846689999686
2,1.7354962403169922,0.30913490623109496,1.3812851224626814,0.4478021978021978,55.47501249999914
3,1.4133058964521035,0.40229885057471265,1.5427056511679849,0.4835164835164835,55.11833330000809
4,1.3565871555446063,0.4219600725952813,1.1390516679365557,0.5412087912087912,55.25410730000294
5,1.3147598319679625,0.4455535390199637,1.1150102274758475,0.5769230769230769,56.138017799996305
6,1.2820472174965822,0.45977011494252873,1.1153818460611196,0.5631868131868132,56.12561309999728
7,1.2774179219766884,0.47580157289776165,1.3352749727584503,0.5989010989010989,56.564454100007424
8,1.2523280493937619,0.5045372050816697,0.9038095159845038,0.6401098901098901,55.918665299992426
9,1.2051608333137638,0.5199637023593466,1.0083613762488732,0.6346153846153846,55.94616959999257
10,1.2145931254858258,0.5190562613430127,1.001286234174456,0.6016483516483516,55.56484300000011
11,1.1799615842965756,0.5372050816696915,0.9793497232290415,0.5824175824175825,55.19334099999105
12,1.180698106596128,0.5347852389594676,0.9252417637751653,0.6620879120879121,55.09137379999447
13,1.1287844367122477,0.5496067755595886,0.9289759122408353,0.6401098901098901,55.111177900005714
14,1.102262524929612,0.5617059891107078,0.9123108098795126,0.6456043956043956,54.55134079999698
15,1.0987078472836698,0.5704779189352692,0.9315886183099432,0.6236263736263736,54.64608920000319
16,1.1673295940692252,0.543254688445251,0.9419872105776609,0.6071428571428571,54.79015679999429
17,1.1095822215152378,0.5659407138535996,1.5370849541255407,0.5961538461538461,54.67423019999114
18,1.10239015084213,0.574107683000605,0.8480417243726961,0.6840659340659341,55.09374579999712
19,1.0697626474764732,0.5780399274047187,0.8652712172204322,0.6510989010989011,55.09670959999494
20,1.037651694765685,0.5961887477313974,0.9428664544126489,0.6538461538461539,55.21490679999988
21,1.013097398871014,0.6022383545069571,0.8648512337233994,0.6620879120879121,54.72601410000061
22,1.0201821294035684,0.6107078039927405,0.8986076286860875,0.6346153846153846,54.81133419999969
23,0.9553370209657561,0.632788868723533,1.0259287327855497,0.6758241758241759,54.64377290000266
24,0.9295053991201208,0.6349062310949788,0.7649987084524972,0.7115384615384616,54.61073349999788
25,0.9326989526685194,0.6436781609195402,0.7708273215608282,0.7032967032967034,54.73249979999673
26,0.9145332010889947,0.6445856019358742,0.8683399669416658,0.6785714285714286,56.557239200003096
27,0.9343777088706449,0.6403508771929824,0.8949137172856174,0.6758241758241759,55.099173900001915
28,0.8668718250030037,0.6666666666666666,1.0758379265502258,0.6978021978021978,55.961951799996314
29,0.9109086946365117,0.6515426497277677,0.8044127327400249,0.6620879120879121,56.10477580000588
30,0.9137839588048742,0.6460980036297641,4.084368992637802,0.5686813186813187,56.626584300000104
