model,parameters,best_epoch,best_val_accuracy,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,training_seconds
vgg11,128786821,29,0.8653846153846154,0.5002236105569261,0.8139745916515426,0.5544955786112901,0.8241758241758241,1142.809225199977
vgg13,128971333,29,0.8489010989010989,0.5630704240227784,0.7894736842105263,0.5681490557534354,0.8104395604395604,1300.6149793000004
vgg16,134281029,29,0.8021978021978022,0.6925009552522349,0.7341197822141561,0.7429331537786421,0.7362637362637363,1451.262035199994
vgg19,139590725,1,0.2445054945054945,1.6005593523139745,0.24470659407138537,1.600365942651099,0.2445054945054945,1592.0357547000094
