Model,BN,Learning Rate,Best Train Accuracy,Best Test Accuracy,Lowest Test Loss
VGG19,No,0.0001,0.24470659407138537,0.2445054945054945,1.6002371651785714
VGG19,Yes,0.0001,0.6666666666666666,0.7115384615384616,0.7649987084524972
VGG19,Yes,5e-05,0.7111312764670297,0.7774725274725275,0.6187078887289696
VGG19,Yes,0.0002,0.5387174833635814,0.6098901098901099,0.9866903116414835
VGG19,Yes,0.0003,0.5562613430127041,0.6263736263736264,0.9659730680696257
VGG19,Yes,0.0005,0.47701149425287354,0.5439560439560439,1.0815662761310956
VGG19,Yes,0.001,0.25075620084694494,0.24725274725274726,1.5848811222956731
