epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,1.60561851321461,0.23563218390804597,1.628458211710165,0.2445054945054945,90.1262973999983
2,1.6023083621634906,0.24470659407138537,1.6005027687156594,0.2445054945054945,52.0265103999991
3,1.6012257543103448,0.24470659407138537,1.600357894059066,0.2445054945054945,51.79297419999784
4,1.601014254385965,0.24470659407138537,1.6005403288118132,0.2445054945054945,51.96812929999578
5,1.6009347942188445,0.24470659407138537,1.6005081344436813,0.2445054945054945,51.691213800004334
6,1.6008210687008468,0.24470659407138537,1.600569840315934,0.2445054945054945,51.65628540000034
7,1.6009962355376588,0.24440411373260737,1.6006342290521978,0.2445054945054945,51.365666900004726
8,1.6006355631805809,0.24470659407138537,1.6005483774038463,0.2445054945054945,51.41828180000448
9,1.6013123038604054,0.24470659407138537,1.6004625257554945,0.2445054945054945,51.70411729999614
10,1.6013442060836358,0.24470659407138537,1.6004303313873627,0.2445054945054945,51.65961529999913
11,1.6010130728221417,0.24470659407138537,1.600301553914835,0.2445054945054945,51.87156619999587
12,1.6009894415456745,0.24470659407138537,1.6004625257554945,0.2445054945054945,51.793824100001075
13,1.6009634471415608,0.24470659407138537,1.6006530091002746,0.2445054945054945,51.6860142000005
14,1.600784735613279,0.24470659407138537,1.6004249656593406,0.2445054945054945,51.8541194999998
15,1.60134036600121,0.24470659407138537,1.600355211195055,0.2445054945054945,51.864590200006205
16,1.600875420636721,0.24470659407138537,1.6002371651785714,0.2445054945054945,51.526217700004054
17,1.6004143153546582,0.24470659407138537,1.6005349630837913,0.2445054945054945,51.908618900000874
18,1.6007212265577737,0.24470659407138537,1.6006664234203296,0.2445054945054945,51.51945700000215
19,1.6008187055732002,0.24470659407138537,1.6006476433722527,0.2445054945054945,51.860248999997566
20,1.601198282951452,0.24470659407138537,1.6005027687156594,0.2445054945054945,51.54233699999895
21,1.6005649647421356,0.24470659407138537,1.6004491114354396,0.2445054945054945,51.32287399999768
22,1.6010721510133092,0.24470659407138537,1.6006047175480769,0.2445054945054945,51.20509149999998
23,1.6009938724100121,0.24470659407138537,1.6002747252747254,0.2445054945054945,51.66394740000396
24,1.6006521050741076,0.24470659407138537,1.6005215487637363,0.2445054945054945,53.49003019999509
25,1.60123816073049,0.24470659407138537,1.6004437457074177,0.2445054945054945,52.40514500000427
26,1.6009023012137023,0.24470659407138537,1.600569840315934,0.2445054945054945,51.864364200002456
27,1.600834065902904,0.24470659407138537,1.6006771548763736,0.2445054945054945,52.29867479999666
28,1.6006704193133696,0.24470659407138537,1.6006905691964286,0.2445054945054945,51.995764999999665
29,1.6007729199750453,0.24470659407138537,1.6005135001717032,0.2445054945054945,51.45023339999898
30,1.6005593523139745,0.24470659407138537,1.600365942651099,0.2445054945054945,51.50354360000347
