epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,1.4083488842825131,0.3620689655172414,1.2614182692307692,0.41483516483516486,79.53709250000247
2,1.26202911127717,0.4398064125831821,1.0923931415264423,0.5054945054945055,41.757790900002874
3,1.1427270561294418,0.5196612220205686,1.1543940869006482,0.5494505494505495,41.96911320000072
4,1.0945672458110978,0.5550514216575922,1.0312161288418613,0.554945054945055,42.05043670000305
5,1.0507340529292408,0.5707803992740472,1.0468848910960522,0.6291208791208791,41.862207500002114
6,1.0334314741802735,0.5898366606170599,1.1100014068268158,0.532967032967033,41.96975999999995
7,0.9870707450025528,0.6076830006049607,0.9325188601409996,0.6730769230769231,42.179792000002635
8,0.9470149390421992,0.6391409558378706,0.8676145427174621,0.6813186813186813,41.9682926999958
9,0.9150705283436714,0.6530550514216575,0.8313381711205283,0.6895604395604396,41.90244189999794
10,0.8962132014870572,0.6609195402298851,0.8638588776300241,0.6840659340659341,42.10133280000446
11,0.8710936860322808,0.6672716273442226,0.7474596952344035,0.7252747252747253,41.83370460000151
12,0.8476697450973594,0.6793708408953418,0.7549995799641033,0.7307692307692307,42.819343299997854
13,0.8228103226412447,0.6848154869933454,0.7774083365450849,0.6895604395604396,42.427976800005126
14,0.7979412857720294,0.6984271022383545,0.7296239517547272,0.7197802197802198,42.48363799999788
15,0.7692351409037476,0.6987295825771325,0.82720325084833,0.6978021978021978,42.11932689999958
16,0.7637241321192751,0.7156684815486993,0.6395846543076275,0.7664835164835165,42.179798299999675
17,0.7360145130881525,0.7247428917120388,0.7844918288372376,0.7417582417582418,42.181537199998274
18,0.7112425941088238,0.736237144585602,0.6341844027513986,0.771978021978022,42.08749450000323
19,0.6845276772218694,0.7444041137326074,0.8839015819869198,0.7197802197802198,42.17636510000011
20,0.684123761172159,0.7437991530550514,0.7624482165326129,0.739010989010989,42.15792639999563
21,0.6930249499971767,0.7332123411978222,0.6602074215700339,0.7692307692307693,42.262571500003105
22,0.6727990507718944,0.7552934059286146,0.7714793472499638,0.7197802197802198,42.06546910000179
23,0.6521741444243854,0.7595281306715064,0.5500022651075007,0.7994505494505495,42.173557499998424
24,0.6307733146912101,0.7622504537205081,0.5829390117100307,0.7994505494505495,42.24717650000093
25,0.5993082419136979,0.779794313369631,0.5705652037164667,0.8131868131868132,41.96534570000222
26,0.5976776713973021,0.7767695099818511,0.6561654213365617,0.7554945054945055,42.056015799993475
27,0.5751158784392092,0.7819116757410768,0.5437264537418282,0.7967032967032966,41.99593069999537
28,0.5738659091090983,0.7849364791288567,0.56697143303169,0.7994505494505495,42.013193499995396
29,0.5721453461442222,0.7828191167574108,0.4925264991246737,0.8489010989010989,42.01183049999963
30,0.5630704240227784,0.7894736842105263,0.5681490557534354,0.8104395604395604,42.05851719999919
