epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,7.65320504310271,0.2601330913490623,1.5559463317577655,0.2087912087912088
2,1.5590955338475203,0.3000604960677556,1.5171996734954498,0.28846153846153844
3,1.5047138650274536,0.3336358136721113,1.4203881903009101,0.3489010989010989
4,1.529047335989895,0.3309134906231095,1.4522554167024382,0.3324175824175824
5,1.5282181458839559,0.323956442831216,1.4994254387342012,0.3626373626373626
6,1.5227145444820378,0.33000604960677554,1.5380254682603773,0.37637362637362637
7,1.566393802617437,0.3139745916515426,1.5228429364634084,0.37362637362637363
8,1.5239771657183325,0.3372655777374471,1.4244534576332175,0.39285714285714285
9,1.617647199578813,0.31518451300665457,1.5192281282865083,0.3543956043956044
10,1.4966215331555854,0.36085904416212944,1.5419393738547524,0.38186813186813184
11,1.4290001390922162,0.3687235329703569,1.3555216946444668,0.3983516483516483
12,1.442399541320616,0.3644888082274652,1.4419388063661345,0.37637362637362637
13,1.4619850486390749,0.3572292800967937,1.41296587737052,0.4175824175824176
14,1.40603495538415,0.3781004234724743,1.3729638319749098,0.4065934065934066
15,1.3919979933169273,0.3868723532970357,1.303807855962397,0.4258241758241758
16,1.642856270201049,0.3411978221415608,1.6841728294288718,0.25274725274725274
17,1.5788236734582954,0.2852389594676346,1.5007605919471154,0.3159340659340659
18,1.4990914881914512,0.32698124621899577,1.4076189313616072,0.33791208791208793
19,1.460996015102158,0.35178463399879006,1.3914855286315246,0.38461538461538464
20,1.4528212642496596,0.3511796733212341,1.3956198220724587,0.41483516483516486
21,1.3822925934557906,0.3911070780399274,1.2617911873282968,0.4423076923076923
22,1.36330465973325,0.3986690865093769,1.2724388038719094,0.41483516483516486
23,1.4243117984107099,0.3892921960072595,1.7029459188272664,0.34615384615384615
24,1.3605630393469614,0.40018148820326677,1.1984985686920502,0.47802197802197804
25,1.3129896843570403,0.41167574107683,1.1814856896033654,0.46703296703296704
26,1.293902296192056,0.4364791288566243,1.2222139127961882,0.4807692307692308
27,1.2694703994630974,0.44343617664851787,1.1849682986081302,0.48626373626373626
28,1.2759739113661714,0.4458560193587417,1.1149245042067308,0.47802197802197804
29,1.2404618975759922,0.4618874773139746,1.1519587590144231,0.510989010989011
30,1.245571581868785,0.47701149425287354,1.0815662761310956,0.5439560439560439
