epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,3.646519842972845,0.3215366001209921,1.3722553515172267,0.40934065934065933,79.26582359999884
2,1.4641418869540104,0.4165154264972777,1.1212816343202696,0.554945054945055,44.164916000008816
3,1.3134248243702302,0.4652147610405324,1.0423317060365782,0.5769230769230769,44.32524610000837
4,1.2747931108284343,0.48911070780399274,1.0800738766953186,0.5796703296703297,44.490154699989944
5,1.236160232742411,0.49939503932244406,1.0133438879971977,0.6043956043956044,44.60692270001164
6,1.1929648280215854,0.5223835450695705,1.02689315198542,0.6043956043956044,43.98277820000658
7,1.1648344021455057,0.5335753176043557,0.9808890492051512,0.5824175824175825,44.00325999999768
8,1.1673192700976252,0.5359951603145795,0.9375751267422686,0.6373626373626373,43.951689699999406
9,1.1188866068072125,0.5611010284331518,0.8653504376883036,0.6098901098901099,44.03530689999752
10,1.12678075024235,0.5668481548699335,0.8602656309421246,0.6401098901098901,44.042265600000974
11,1.1028076271107898,0.5650332728372656,0.8008232535896721,0.6730769230769231,44.44776150000689
12,1.0615025831581388,0.5813672111312764,0.868749622787748,0.5989010989010989,44.45681310001237
13,1.0812703250612696,0.574107683000605,0.770092018358,0.6868131868131868,44.362364600005094
14,1.049843007985996,0.5910465819721719,0.9603283339804345,0.6043956043956044,44.17080110000097
15,1.0211399927762372,0.6022383545069571,0.9659666510728689,0.6181318681318682,44.34309629999916
16,0.9981272949713761,0.6007259528130672,0.780573097559122,0.6785714285714286,44.35682129999623
17,0.9651058396641153,0.6240169388989716,0.811154876436506,0.6895604395604396,44.90677919999871
18,0.9493207299053056,0.6282516636418632,0.7853957483401666,0.7142857142857143,44.79280029999791
19,0.9382179143640826,0.6336963097398669,0.7477504195092799,0.7060439560439561,44.49124489999667
20,0.9159558907971552,0.6388384754990926,0.8533832794362373,0.6868131868131868,44.890346600004705
21,0.8997395090528928,0.663036902601331,0.8054311976328001,0.6703296703296703,44.39170209999429
22,0.8742841760533835,0.6669691470054446,0.7585206542696271,0.695054945054945,44.438732299997355
23,0.8278185418354549,0.6896551724137931,0.6342843689106323,0.771978021978022,45.72739650000585
24,0.8411162601264405,0.6884452510586812,0.6072691033829699,0.7857142857142857,47.35100059999968
25,0.7959787145716741,0.7065940713853599,0.7356310342694377,0.739010989010989,45.148098399993614
26,0.7981202086029238,0.7023593466424682,0.7353680232068994,0.7142857142857143,44.66700879999553
27,0.7576184070478117,0.719903206291591,0.619615872155179,0.782967032967033,44.55572720000055
28,0.7671714776657022,0.7265577737447066,0.631603669334244,0.782967032967033,45.28649530000985
29,0.7557564056503795,0.7241379310344828,0.5753723333825121,0.804945054945055,44.94743919999746
30,0.758686618810701,0.7259528130671506,0.6085172456044418,0.7747252747252747,44.70780210000521
