group,model,parameters,best_epoch,best_test_accuracy,epoch_to_80_accuracy,final_train_loss,final_train_accuracy,final_test_loss,final_test_accuracy,training_seconds
BN,vgg11,128792325,29,0.7582417582417582,,0.8137007107968339,0.7090139140955838,0.7100834139100798,0.7005494505494505,1165.5216124000144
BN,vgg13,128977221,29,0.804945054945055,29,0.758686618810701,0.7259528130671506,0.6085172456044418,0.7747252747252747,1373.3085949000379
BN,vgg16,134289477,28,0.7554945054945055,,0.8597116682721281,0.6802782819116757,0.7919556357703366,0.7335164835164835,1531.0164776999882
BN,vgg19,139601733,24,0.7115384615384616,,0.9137839588048742,0.6460980036297641,4.084368992637802,0.5686813186813187,1692.4408342999668
